"ID","SESCORE__SUPPORTER_ID__C","MAILINGSTATE","STATUS"
"0035g00000oaeZJAAY","S0380932M1","Johor","Item Updated"
"0035g00000mgDhvAAE","S0159864M1","Johor","Item Updated"
"0035g00000mgVDSAA2","S0226312M1","Johor","Item Updated"
"0035g00000mgKprAAE","S0186729M1","Johor","Item Updated"
"0035g00000mg92PAAQ","S0142314M1","Johor","Item Updated"
"0035g00000oadkaAAA","S0378032M1","Johor","Item Updated"
"0035g00000oahgRAAQ","S0392511M1","Johor","Item Updated"
"0035g00000mg6ZuAAI","S0132924M1","Johor","Item Updated"
"0035g00000oakFWAAY","S0402339M1","Kedah","Item Updated"
"0035g000014RLwWAAW","S0591958M1","Kedah","Item Updated"
"0035g00000mfYyZAAU","S0005860M1","Kedah","Item Updated"
"0035g00000mgbSgAAI","S0250135M1","Kedah","Item Updated"
"0035g00000oaakdAAA","S0367033M1","Kedah","Item Updated"
"0035g00000mgdBkAAI","S0256638M1","Kedah","Item Updated"
"0035g00000oakY7AAI","S0403492M1","Kedah","Item Updated"
"0035g00000oajC4AAI","S0398286M1","Kedah","Item Updated"
"0035g00000oakVIAAY","S0403317M1","Kedah","Item Updated"
"0035g00000oaio8AAA","S0396827M1","Kedah","Item Updated"
"0035g00000oakUsAAI","S0403291M1","Kedah","Item Updated"
"0035g00000mgN3FAAU","S0195182M1","Kedah","Item Updated"
"0035g00000zYN7pAAG","S0573022M1","Kedah","Item Updated"
"0035g00000mgUjiAAE","S0224478M1","Kedah","Item Updated"
"0035g00000oahBAAAY","S0390572M1","Kedah","Item Updated"
"0035g00000oaqbcAAA","S0426203M1","Kedah","Item Updated"
"0035g00000oapvqAAA","S0423643M1","Kedah","Item Updated"
"0035g00000oaib0AAA","S0396013M1","Kedah","Item Updated"
"0035g00000mgAv4AAE","S0149507M1","Kedah","Item Updated"
"0035g000013ORWUAA4","S0588856M1","Kedah","Item Updated"
"0035g000013LRslAAG","S0584470M1","Kedah","Item Updated"
"0035g00001AUR8hAAH","S0618888M1","Kedah","Item Updated"
"0035g00000spSSHAA2","S0540657M1","Kedah","Item Updated"
"0035g00000oarIiAAI","S0428825M1","Kedah","Item Updated"
"0035g00000mfbQxAAI","S0014995M1","Kedah","Item Updated"
"0035g00000mfbO2AAI","S0014814M1","Kedah","Item Updated"
"0035g00000mflrbAAA","S0054607M1","Kedah","Item Updated"
"0035g00000mflrZAAQ","S0054605M1","Kedah","Item Updated"
"0035g00000mfl1OAAQ","S0051395M1","Kedah","Item Updated"
"0035g00000mfjmmAAA","S0046850M1","Kedah","Item Updated"
"0035g00000mfjmoAAA","S0046852M1","Kedah","Item Updated"
"0035g00000oab3cAAA","S0368119M1","Kedah","Item Updated"
"0035g00000mgppUAAQ","S0304390M1","Kedah","Item Updated"
"0035g00000mfnjkAAA","S0061748M1","Kedah","Item Updated"
"0035g00000oaUCwAAM","S0342419M1","Kedah","Item Updated"
"0035g00000mglimAAA","S0288968M1","Kedah","Item Updated"
"0035g00000oaThCAAU","S0340451M1","Kedah","Item Updated"
"0035g00000oaVopAAE","S0348412M1","Kedah","Item Updated"
"0035g00000ocHnQAAU","S0523702M1","Kedah","Item Updated"
"0035g00000mgfWaAAI","S0265558M1","Kedah","Item Updated"
"0035g00000oadw8AAA","S0378748M1","Kedah","Item Updated"
"0035g00000oadwPAAQ","S0378765M1","Kedah","Item Updated"
"0035g00000oadwiAAA","S0378784M1","Kedah","Item Updated"
"0035g00000oadhxAAA","S0377869M1","Kedah","Item Updated"
"0035g00000oabloAAA","S0370495M1","Kedah","Item Updated"
"0035g00000oabJIAAY","S0368802M1","Kedah","Item Updated"
"0035g00000oadU6AAI","S0377010M1","Kedah","Item Updated"
"0035g00000mgaA7AAI","S0245200M1","Kedah","Item Updated"
"0035g00000mgunvAAA","S0322653M1","Kedah","Item Updated"
"0035g00000mgrPRAAY","S0310097M1","Kedah","Item Updated"
"0035g00000mguYVAAY","S0321707M1","Kedah","Item Updated"
"0035g00000mgdw5AAA","S0259486M1","Kedah","Item Updated"
"0035g00000mg57aAAA","S0127358M1","Kedah","Item Updated"
"0035g00000mfy2yAAA","S0100420M1","Kedah","Item Updated"
"0035g00000oacyDAAQ","S0375093M1","Kedah","Item Updated"
"0035g00000mgvuQAAQ","S0326875M1","Kedah","Item Updated"
"0035g00000oaZbZAAU","S0362807M1","Kedah","Item Updated"
"0035g00000mgkWUAAY","S0284502M1","Kedah","Item Updated"
"0035g00000mgbz7AAA","S0252131M1","Kedah","Item Updated"
"0035g00000mg7lqAAA","S0137468M1","Kedah","Item Updated"
"0035g00000oammyAAA","S0411946M1","Kedah","Item Updated"
"0035g00000mgo7WAAQ","S0298000M1","Kedah","Item Updated"
"0035g00000oapciAAA","S0422486M1","Kedah","Item Updated"
"0035g00000oattlAAA","S0438640M1","Kedah","Item Updated"
"0035g00000oapUuAAI","S0422002M1","Kedah","Item Updated"
"0035g00000oao7NAAQ","S0416960M1","Kedah","Item Updated"
"0035g00000oattWAAQ","S0438625M1","Kedah","Item Updated"
"0035g00000oay3rAAA","S0454372M1","Kedah","Item Updated"
"0035g00000oauSPAAY","S0440768M1","Kedah","Item Updated"
"0035g00000oaleIAAQ","S0407704M1","Kedah","Item Updated"
"0035g00000oaoLVAAY","S0417761M1","Kedah","Item Updated"
"0035g00000oarppAAA","S0430858M1","Kedah","Item Updated"
"0035g00000mg6UBAAY","S0132569M1","Kedah","Item Updated"
"0035g00000mgBcLAAU","S0152165M1","Kedah","Item Updated"
"0035g00000oalVlAAI","S0407185M1","Kedah","Item Updated"
"0035g00000oai0tAAA","S0393774M1","Kedah","Item Updated"
"0035g00000oajgCAAQ","S0400154M1","Kedah","Item Updated"
"0035g00000ob90TAAQ","S0496203M1","Kedah","Item Updated"
"0035g00000ob1GlAAI","S0466529M1","Kedah","Item Updated"
"0035g00000oafBSAAY","S0383297M1","Kedah","Item Updated"
"0035g00000oapipAAA","S0422846M1","Kedah","Item Updated"
"0035g00000oaih3AAA","S0396388M1","Kedah","Item Updated"
"0035g00000oatpLAAQ","S0438371M1","Kedah","Item Updated"
"0035g00000oasIVAAY","S0432606M1","Kedah","Item Updated"
"0035g00000ob0uWAAQ","S0465190M1","Kedah","Item Updated"
"0035g00000ob2kvAAA","S0472225M1","Kedah","Item Updated"
"0035g00000ob7AfAAI","S0489157M1","Kedah","Item Updated"
"0035g00000oak2qAAA","S0401553M1","Kedah","Item Updated"
"0035g00000oahMUAAY","S0391274M1","Kedah","Item Updated"
"0035g00000oan6bAAA","S0413143M1","Kedah","Item Updated"
"0035g00000oazubAAA","S0461351M1","Kedah","Item Updated"
"0035g00000oazukAAA","S0461360M1","Kedah","Item Updated"
"0035g00000oamOAAAY","S0410418M1","Kedah","Item Updated"
"0035g00000oajsLAAQ","S0400907M1","Kedah","Item Updated"
"0035g00000mgFBfAAM","S0165462M1","Kedah","Item Updated"
"0035g00000mgLJaAAM","S0188567M1","Kedah","Item Updated"
"0035g00000mgIJ0AAM","S0177279M1","Kedah","Item Updated"
"0035g00000spVTOAA2","S0540798M1","Kedah","Item Updated"
"0035g00000ui2fMAAQ","S0545227M1","Kedah","Item Updated"
"0035g00000uhwaEAAQ","S0544840M1","Kedah","Item Updated"
"0035g00000zbGq7AAE","S0581236M1","Kedah","Item Updated"
"0035g000015AfLzAAK","S0593784M1","Kedah","Item Updated"
"0035g000017FiKkAAK","S0610426M1","Kedah","Item Updated"
"0035g000017DNiLAAW","S0607751M1","Kedah","Item Updated"
"0035g000017DexTAAS","S0608052M1","Kedah","Item Updated"
"0035g000017DRXoAAO","S0607958M1","Kedah","Item Updated"
"0035g000015vmkjAAA","S0599775M1","Kedah","Item Updated"
"0035g000015vvsDAAQ","S0601517M1","Kedah","Item Updated"
"0035g00001DA8E9AAL","S0629618M1","Kedah","Item Updated"
"0035g000017CmbyAAC","S0606250M1","Kedah","Item Updated"
"0035g000017EjOBAA0","S0609819M1","Kedah","Item Updated"
"0035g00001BSBDwAAP","S0627729M1","Kedah","Item Updated"
"0035g00000mgSU8AAM","S0215864M1","Kedah","Item Updated"
"0035g00000mfbV5AAI","S0015246M1","Kedah","Item Updated"
"0035g00000mfbUnAAI","S0015228M1","Kedah","Item Updated"
"0035g00000mfbQvAAI","S0014993M1","Kedah","Item Updated"
"0035g00000mfbQwAAI","S0014994M1","Kedah","Item Updated"
"0035g00000mgJKTAA2","S0181003M1","Kedah","Item Updated"
"0035g00000mgLPkAAM","S0188944M1","Kedah","Item Updated"
"0035g00000mfluhAAA","S0054799M1","Kedah","Item Updated"
"0035g00000mglnzAAA","S0289295M1","Kedah","Item Updated"
"0035g00000mgbacAAA","S0250627M1","Kedah","Item Updated"
"0035g00000oaT1xAAE","S0338199M1","Kedah","Item Updated"
"0035g00000mfnXOAAY","S0077984M1","Kedah","Item Updated"
"0035g00000mfs2vAAA","S0077992M1","Kedah","Item Updated"
"0035g00000mfs2wAAA","S0077993M1","Kedah","Item Updated"
"0035g00000mfrH2AAI","S0075054M1","Kedah","Item Updated"
"0035g00000mftaXAAQ","S0083711M1","Kedah","Item Updated"
"0035g00000mftOOAAY","S0082963M1","Kedah","Item Updated"
"0035g00000mgbTSAAY","S0250183M1","Kedah","Item Updated"
"0035g00000mfxAnAAI","S0097196M1","Kedah","Item Updated"
"0035g00000mftz8AAA","S0085216M1","Kedah","Item Updated"
"0035g00000mg1TnAAI","S0113440M1","Kedah","Item Updated"
"0035g00000mg3u0AAA","S0122703M1","Kedah","Item Updated"
"0035g00000mfu8JAAQ","S0085734M1","Kedah","Item Updated"
"0035g00000mfvhrAAA","S0091603M1","Kedah","Item Updated"
"0035g00000mftsQAAQ","S0084805M1","Kedah","Item Updated"
"0035g00000y6EeqAAE","S0569158M1","Kedah","Item Updated"
"0035g00000mgup3AAA","S0322723M1","Kedah","Item Updated"
"0035g00000mgup6AAA","S0322726M1","Kedah","Item Updated"
"0035g00000oaciLAAQ","S0374114M1","Kedah","Item Updated"
"0035g00000oabfWAAQ","S0370160M1","Kedah","Item Updated"
"0035g00000oaduDAAQ","S0378629M1","Kedah","Item Updated"
"0035g00000oaV7ZAAU","S0345865M1","Kedah","Item Updated"
"0035g00000mgpDtAAI","S0302199M1","Kedah","Item Updated"
"0035g00000oaZ09AAE","S0360537M1","Kedah","Item Updated"
"0035g00000oaUgJAAU","S0344244M1","Kedah","Item Updated"
"0035g00000oaZv5AAE","S0363902M1","Kedah","Item Updated"
"0035g00000oamxgAAA","S0412600M1","Kedah","Item Updated"
