"ID","SESCORE__SUPPORTER_ID__C","MAILINGCOUNTRY","STATUS"
"0035g00000mgM1zAAE","S0191270M1","Malaysia","Item Updated"
"0035g00000ob5EVAAY","S0481717M1","Malaysia","Item Updated"
"0035g00000mffMCAAY","S0029911M1","Malaysia","Item Updated"
"0035g00000mge8AAAQ","S0260235M1","Malaysia","Item Updated"
"0035g00000oaoOKAAY","S0417936M1","Malaysia","Item Updated"
"0035g00000mfdAlAAI","S0021589M1","Malaysia","Item Updated"
"0035g00000mgiHVAAY","S0276080M1","Malaysia","Item Updated"
"0035g00000oacLaAAI","S0372703M1","Malaysia","Item Updated"
"0035g00000mfpbmAAA","S0068842M1","Malaysia","Item Updated"
"0035g00000mgjHjAAI","S0279873M1","Malaysia","Item Updated"
"0035g00000mg8NxAAI","S0139826M1","Malaysia","Item Updated"
"0035g00000oafkLAAQ","S0385395M1","Malaysia","Item Updated"
"0035g00000mg7oAAAQ","S0137612M1","Malaysia","Item Updated"
"0035g00000mfifSAAQ","S0042577M1","Malaysia","Item Updated"
"0035g00000mfl1yAAA","S0051431M1","Malaysia","Item Updated"
"0035g00000oaiyLAAQ","S0397450M1","Malaysia","Item Updated"
"0035g00000mguTLAAY","S0321392M1","Malaysia","Item Updated"
"0035g00000mg4G4AAI","S0124046M1","Malaysia","Item Updated"
"0035g00000mg99mAAA","S0142771M1","Malaysia","Item Updated"
"0035g00000mgU11AAE","S0221722M1","Malaysia","Item Updated"
"0035g00000mgAQ7AAM","S0147608M1","Malaysia","Item Updated"
"0035g00000mgKDdAAM","S0184374M1","Malaysia","Item Updated"
"0035g00000oapLYAAY","S0421433M1","Malaysia","Item Updated"
"0035g00000mfbJmAAI","S0014565M1","Malaysia","Item Updated"
"0035g00000mgYiIAAU","S0239671M1","Malaysia","Item Updated"
"0035g00000oaoOOAAY","S0417940M1","Malaysia","Item Updated"
"0035g00000mfdAZAAY","S0021577M1","Malaysia","Item Updated"
"0035g00000ob53rAAA","S0481057M1","Malaysia","Item Updated"
"0035g00000oacf2AAA","S0373909M1","Malaysia","Item Updated"
"0035g00000mfp5aAAA","S0066871M1","Malaysia","Item Updated"
"0035g00000mgjHqAAI","S0279880M1","Malaysia","Item Updated"
"0035g00000oaQIPAA2","S0327867M1","Malaysia","Item Updated"
"0035g00000oafkPAAQ","S0385399M1","Malaysia","Item Updated"
"0035g00000mg8Y2AAI","S0140446M1","Malaysia","Item Updated"
"0035g000015xDGLAA2","S0603454M1","Malaysia","Item Updated"
"0035g00000mfl9uAAA","S0051923M1","Malaysia","Item Updated"
"0035g00000oaixtAAA","S0397422M1","Malaysia","Item Updated"
"0035g00000ob5JYAAY","S0482030M1","Malaysia","Item Updated"
"0035g00000mg4G7AAI","S0124049M1","Malaysia","Item Updated"
"0035g00000mgA05AAE","S0145994M1","Malaysia","Item Updated"
"0035g00000mgWu1AAE","S0232755M1","Malaysia","Item Updated"
"0035g00000mgbjtAAA","S0251192M1","Malaysia","Item Updated"
"0035g00000mgXFCAA2","S0234063M1","Malaysia","Item Updated"
"0035g00000oalzHAAQ","S0408995M1","Malaysia","Item Updated"
"0035g00000mfjdzAAA","S0046310M1","Malaysia","Item Updated"
"0035g00000mgj1bAAA","S0278878M1","Malaysia","Item Updated"
"0035g00000oam6SAAQ","S0409325M1","Malaysia","Item Updated"
"0035g00000mfa4CAAQ","S0009965M1","Malaysia","Item Updated"
"0035g00000oaprgAAA","S0423385M1","Malaysia","Item Updated"
"0035g00000oaaGOAAY","S0365158M1","Malaysia","Item Updated"
"0035g00000mfp5VAAQ","S0066866M1","Malaysia","Item Updated"
"0035g00000oaelXAAQ","S0381690M1","Malaysia","Item Updated"
"0035g00000mg0qoAAA","S0111113M1","Malaysia","Item Updated"
"0035g00000oafkQAAQ","S0385400M1","Malaysia","Item Updated"
"0035g00000mg8YqAAI","S0140496M1","Malaysia","Item Updated"
"0035g00001DoqSgAAJ","S0635705M1","Malaysia","Item Updated"
"0035g00000obFYoAAM","S0519933M1","Malaysia","Item Updated"
"0035g00000mgBlLAAU","S0152713M1","Malaysia","Item Updated"
"0035g00000mghqMAAQ","S0274411M1","Malaysia","Item Updated"
"0035g00000mg1gOAAQ","S0114191M1","Malaysia","Item Updated"
